freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.473e+02,2.841e+01,2.740e+01,9.031e+02
1.5,5.773e+02,4.698e+01,4.520e+01,6.695e+02
2.9,2.134e+02,3.743e+01,4.043e+01,2.913e+02
4.4,3.966e+02,3.823e+01,3.835e+01,4.731e+02
5.8,1.258e+03,3.942e+01,3.967e+01,1.337e+03
7.3,2.056e+03,3.999e+01,3.898e+01,2.135e+03
8.8,2.928e+03,4.210e+01,3.732e+01,3.007e+03
10.2,4.090e+03,4.029e+01,3.812e+01,4.168e+03
11.7,5.543e+03,3.728e+01,3.722e+01,5.618e+03
13.1,6.860e+03,4.021e+01,3.583e+01,6.936e+03
14.6,6.818e+03,3.853e+01,3.424e+01,6.890e+03
16.1,7.585e+03,3.605e+01,3.766e+01,7.659e+03
17.5,1.000e+04,3.739e+01,3.895e+01,1.008e+04
19.0,1.285e+04,4.226e+01,3.747e+01,1.293e+04
20.5,1.593e+04,4.325e+01,4.133e+01,1.602e+04
21.9,1.909e+04,4.466e+01,4.202e+01,1.917e+04
23.4,2.223e+04,5.132e+01,4.450e+01,2.232e+04
24.8,2.642e+04,5.506e+01,4.972e+01,2.652e+04
26.3,3.166e+04,5.794e+01,5.280e+01,3.177e+04
27.8,3.818e+04,6.441e+01,5.882e+01,3.830e+04
29.2,4.607e+04,8.369e+01,7.303e+01,4.623e+04
30.7,5.507e+04,1.207e+02,8.277e+01,5.527e+04
32.1,6.451e+04,1.684e+02,9.110e+01,6.477e+04
33.6,7.793e+04,2.286e+02,9.785e+01,7.826e+04
35.1,9.540e+04,3.439e+02,1.066e+02,9.585e+04
36.5,1.143e+05,6.549e+02,1.118e+02,1.151e+05
38.0,1.388e+05,1.219e+03,1.006e+02,1.401e+05
39.4,1.765e+05,2.128e+03,1.142e+02,1.788e+05
40.9,2.312e+05,3.266e+03,2.892e+02,2.347e+05
42.4,3.115e+05,4.300e+03,8.143e+02,3.166e+05
43.8,4.436e+05,4.418e+03,2.546e+03,4.505e+05
45.3,7.030e+05,3.303e+03,7.804e+03,7.141e+05
46.8,1.282e+06,4.798e+03,2.320e+04,1.310e+06
48.2,1.986e+06,1.118e+04,5.003e+04,2.047e+06
49.7,2.076e+06,1.417e+04,5.388e+04,2.144e+06
51.1,2.108e+06,1.541e+04,4.209e+04,2.166e+06
52.6,1.865e+06,1.540e+04,2.469e+04,1.905e+06
54.1,1.814e+06,1.756e+04,1.894e+04,1.851e+06
55.5,1.904e+06,2.012e+04,2.318e+04,1.947e+06
57.0,2.030e+06,2.244e+04,3.335e+04,2.086e+06
58.4,1.946e+06,2.317e+04,4.004e+04,2.009e+06
59.9,1.700e+06,2.149e+04,3.924e+04,1.760e+06
61.4,1.481e+06,1.952e+04,3.595e+04,1.536e+06
62.8,1.295e+06,1.821e+04,3.246e+04,1.345e+06
64.3,1.110e+06,1.698e+04,2.824e+04,1.155e+06
65.7,9.458e+05,1.568e+04,2.445e+04,9.859e+05
67.2,8.170e+05,1.495e+04,2.171e+04,8.537e+05
68.7,7.132e+05,1.423e+04,1.932e+04,7.467e+05
70.1,6.145e+05,1.330e+04,1.635e+04,6.441e+05
71.6,5.265e+05,1.221e+04,1.328e+04,5.520e+05
73.0,4.696e+05,1.170e+04,1.170e+04,4.930e+05
74.5,4.216e+05,1.141e+04,1.074e+04,4.438e+05
76.0,3.812e+05,1.142e+04,1.018e+04,4.028e+05
77.4,3.474e+05,1.180e+04,9.375e+03,3.685e+05
78.9,3.219e+05,1.267e+04,8.960e+03,3.435e+05
80.4,3.045e+05,1.380e+04,9.115e+03,3.274e+05
81.8,2.881e+05,1.483e+04,9.397e+03,3.123e+05
83.3,2.764e+05,1.607e+04,9.922e+03,3.024e+05
84.7,2.778e+05,1.730e+04,1.025e+04,3.053e+05
86.2,2.707e+05,1.831e+04,1.004e+04,2.991e+05
87.7,2.483e+05,1.834e+04,9.814e+03,2.765e+05
89.1,2.270e+05,1.806e+04,9.450e+03,2.545e+05
90.6,1.967e+05,1.623e+04,8.432e+03,2.214e+05
92.0,1.936e+05,1.652e+04,8.515e+03,2.187e+05
93.5,2.096e+05,1.945e+04,1.018e+04,2.392e+05
95.0,2.018e+05,2.224e+04,1.292e+04,2.370e+05
96.4,1.962e+05,2.656e+04,1.766e+04,2.404e+05
97.9,1.862e+05,2.948e+04,2.065e+04,2.364e+05
99.3,1.791e+05,2.877e+04,1.875e+04,2.266e+05
100.8,1.798e+05,2.932e+04,1.921e+04,2.284e+05
102.3,1.816e+05,3.011e+04,2.210e+04,2.338e+05
103.7,1.848e+05,2.930e+04,2.554e+04,2.397e+05
105.2,1.916e+05,2.774e+04,2.886e+04,2.482e+05
106.6,1.994e+05,2.645e+04,3.033e+04,2.561e+05
108.1,2.040e+05,2.485e+04,3.009e+04,2.589e+05
109.6,2.107e+05,2.561e+04,2.999e+04,2.663e+05
111.0,2.149e+05,2.956e+04,3.122e+04,2.757e+05
112.5,2.036e+05,3.084e+04,2.831e+04,2.628e+05
114.0,1.984e+05,3.383e+04,2.569e+04,2.579e+05
115.4,2.043e+05,3.999e+04,2.591e+04,2.701e+05
116.9,2.127e+05,4.905e+04,2.808e+04,2.898e+05
118.3,2.198e+05,5.936e+04,2.979e+04,3.089e+05
119.8,2.291e+05,7.371e+04,3.157e+04,3.344e+05
121.3,2.405e+05,9.248e+04,3.378e+04,3.667e+05
122.7,2.536e+05,1.167e+05,3.647e+04,4.067e+05
124.2,2.781e+05,1.480e+05,4.168e+04,4.678e+05
125.6,3.100e+05,1.780e+05,5.069e+04,5.387e+05
127.1,3.218e+05,1.990e+05,5.530e+04,5.761e+05
128.6,3.567e+05,2.405e+05,6.607e+04,6.632e+05
130.0,4.038e+05,2.978e+05,8.381e+04,7.854e+05
131.5,3.818e+05,2.975e+05,8.822e+04,7.676e+05
132.9,1.836e+05,1.470e+05,4.578e+04,3.763e+05
134.4,2.208e+04,1.898e+04,6.326e+03,4.738e+04
135.9,1.410e+04,1.446e+04,4.791e+03,3.336e+04
137.3,1.604e+04,1.781e+04,6.127e+03,3.997e+04
138.8,1.530e+04,1.832e+04,6.818e+03,4.044e+04
