freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.896e+00,6.836e+02,4.533e+02,1.147e+03
1.4,2.991e+01,4.340e+02,2.671e+02,7.310e+02
2.9,3.067e+01,8.133e+01,2.262e+01,1.346e+02
4.3,2.918e+01,2.703e+02,2.310e+01,3.225e+02
5.8,3.170e+01,1.138e+03,2.273e+01,1.192e+03
7.2,3.138e+01,2.046e+03,2.274e+01,2.100e+03
8.7,2.959e+01,3.184e+03,2.310e+01,3.237e+03
10.1,3.110e+01,4.859e+03,2.442e+01,4.914e+03
11.5,3.126e+01,7.226e+03,2.677e+01,7.284e+03
13.0,3.487e+01,7.574e+03,2.877e+01,7.637e+03
14.4,3.538e+01,6.243e+03,3.202e+01,6.310e+03
15.9,3.241e+01,8.012e+03,3.045e+01,8.075e+03
17.3,4.201e+01,1.145e+04,3.316e+01,1.152e+04
18.8,6.010e+01,1.519e+04,4.112e+01,1.529e+04
20.2,5.555e+01,1.814e+04,5.633e+01,1.825e+04
21.6,3.754e+01,2.160e+04,8.183e+01,2.172e+04
23.1,3.405e+01,2.900e+04,1.514e+02,2.918e+04
24.5,3.664e+01,4.017e+04,2.979e+02,4.050e+04
26.0,3.500e+01,5.450e+04,5.393e+02,5.508e+04
27.4,4.035e+01,7.454e+04,9.616e+02,7.554e+04
28.9,3.851e+01,1.068e+05,1.832e+03,1.087e+05
30.3,4.099e+01,1.594e+05,3.934e+03,1.634e+05
31.7,4.940e+01,2.311e+05,8.214e+03,2.394e+05
33.2,5.812e+01,4.863e+05,3.344e+04,5.198e+05
34.6,7.048e+01,1.314e+06,2.014e+05,1.516e+06
36.1,1.004e+02,2.012e+06,5.341e+05,2.546e+06
37.5,2.561e+02,1.654e+06,6.235e+05,2.278e+06
38.9,1.115e+03,1.105e+06,5.732e+05,1.679e+06
40.4,2.845e+03,7.923e+05,5.707e+05,1.366e+06
41.8,4.909e+03,5.870e+05,5.850e+05,1.177e+06
43.3,7.923e+03,4.903e+05,6.855e+05,1.184e+06
44.7,1.211e+04,4.300e+05,9.152e+05,1.357e+06
46.2,1.767e+04,3.495e+05,1.247e+06,1.614e+06
47.6,2.213e+04,2.718e+05,1.581e+06,1.875e+06
49.0,2.201e+04,1.876e+05,1.447e+06,1.656e+06
50.5,1.720e+04,1.227e+05,1.094e+06,1.234e+06
51.9,9.256e+03,7.422e+04,7.818e+05,8.653e+05
53.4,4.136e+03,4.602e+04,5.575e+05,6.077e+05
54.8,2.096e+03,3.177e+04,4.036e+05,4.374e+05
56.3,1.247e+03,2.772e+04,2.893e+05,3.183e+05
57.7,1.174e+03,2.984e+04,2.130e+05,2.440e+05
59.1,1.396e+03,3.219e+04,1.615e+05,1.951e+05
60.6,1.492e+03,3.374e+04,1.269e+05,1.621e+05
62.0,1.583e+03,3.525e+04,1.041e+05,1.410e+05
63.5,1.622e+03,3.635e+04,8.697e+04,1.249e+05
64.9,1.286e+03,3.628e+04,7.313e+04,1.107e+05
66.4,7.466e+02,3.595e+04,6.336e+04,1.000e+05
67.8,6.587e+02,3.643e+04,5.899e+04,9.608e+04
69.2,5.709e+02,3.667e+04,5.677e+04,9.401e+04
70.7,4.292e+02,3.580e+04,5.560e+04,9.183e+04
72.1,4.237e+02,3.482e+04,5.216e+04,8.740e+04
73.6,6.258e+02,3.431e+04,4.587e+04,8.080e+04
75.0,8.605e+02,3.353e+04,3.951e+04,7.390e+04
76.5,7.474e+02,3.127e+04,3.329e+04,6.531e+04
77.9,5.805e+02,2.731e+04,2.731e+04,5.520e+04
79.3,9.339e+02,2.414e+04,2.382e+04,4.889e+04
80.8,1.673e+03,2.277e+04,2.253e+04,4.698e+04
82.2,2.050e+03,2.175e+04,2.149e+04,4.529e+04
83.7,2.233e+03,2.083e+04,2.073e+04,4.379e+04
85.1,2.170e+03,2.032e+04,2.048e+04,4.297e+04
86.6,1.818e+03,2.019e+04,2.061e+04,4.262e+04
88.0,1.335e+03,2.032e+04,2.064e+04,4.229e+04
89.4,1.073e+03,2.010e+04,2.107e+04,4.224e+04
90.9,1.295e+03,1.901e+04,2.260e+04,4.291e+04
92.3,2.043e+03,1.916e+04,2.525e+04,4.646e+04
93.8,2.950e+03,2.178e+04,2.847e+04,5.319e+04
95.2,3.451e+03,2.636e+04,3.333e+04,6.314e+04
96.7,3.384e+03,2.917e+04,3.716e+04,6.972e+04
98.1,2.859e+03,2.935e+04,3.817e+04,7.038e+04
99.5,2.295e+03,2.908e+04,3.880e+04,7.018e+04
101.0,1.880e+03,3.114e+04,4.310e+04,7.612e+04
102.4,1.649e+03,3.416e+04,4.755e+04,8.335e+04
103.9,1.624e+03,3.732e+04,5.030e+04,8.924e+04
105.3,1.708e+03,3.906e+04,5.150e+04,9.226e+04
106.7,1.848e+03,3.757e+04,4.661e+04,8.603e+04
108.2,2.044e+03,3.375e+04,3.874e+04,7.453e+04
109.6,2.245e+03,2.876e+04,3.317e+04,6.418e+04
111.1,2.328e+03,2.076e+04,2.622e+04,4.931e+04
112.5,2.132e+03,1.282e+04,1.805e+04,3.301e+04
114.0,1.907e+03,8.275e+03,1.263e+04,2.281e+04
115.4,1.697e+03,6.183e+03,9.274e+03,1.715e+04
116.8,1.459e+03,4.775e+03,6.958e+03,1.319e+04
118.3,1.249e+03,3.783e+03,5.169e+03,1.020e+04
119.7,1.146e+03,3.427e+03,3.609e+03,8.183e+03
121.2,9.851e+02,3.243e+03,2.405e+03,6.632e+03
122.6,9.351e+02,3.175e+03,1.707e+03,5.817e+03
124.1,1.150e+03,3.403e+03,1.254e+03,5.807e+03
125.5,1.763e+03,4.467e+03,9.127e+02,7.144e+03
126.9,1.961e+03,5.417e+03,7.918e+02,8.170e+03
128.4,1.996e+03,5.697e+03,9.804e+02,8.674e+03
129.8,2.087e+03,5.535e+03,1.124e+03,8.746e+03
131.3,2.238e+03,7.485e+03,1.491e+03,1.121e+04
132.7,1.657e+03,5.733e+03,1.134e+03,8.524e+03
134.2,3.737e+02,9.682e+02,2.015e+02,1.543e+03
135.6,2.371e+02,2.852e+02,6.482e+01,5.871e+02
137.0,2.750e+02,2.976e+02,6.432e+01,6.369e+02
138.5,2.976e+02,3.583e+02,6.787e+01,7.238e+02
139.9,3.414e+02,3.669e+02,7.213e+01,7.804e+02
141.4,6.772e+02,8.042e+02,1.794e+02,1.661e+03
142.8,2.451e+03,4.207e+03,8.187e+02,7.477e+03
144.3,1.595e+03,2.061e+03,5.927e+02,4.249e+03
145.7,8.553e+02,5.339e+02,4.721e+02,1.861e+03
147.1,8.364e+02,6.996e+02,5.971e+02,2.133e+03
148.6,8.272e+02,8.189e+02,7.008e+02,2.347e+03
150.0,8.813e+02,9.532e+02,8.014e+02,2.636e+03
151.5,9.543e+02,1.018e+03,8.490e+02,2.822e+03
152.9,9.518e+02,9.235e+02,7.946e+02,2.670e+03
154.4,8.127e+02,6.959e+02,6.288e+02,2.137e+03
155.8,6.559e+02,5.017e+02,4.612e+02,1.619e+03
157.2,4.870e+02,3.738e+02,3.415e+02,1.202e+03
158.7,3.648e+02,3.062e+02,2.699e+02,9.409e+02
160.1,2.737e+02,2.672e+02,2.212e+02,7.622e+02
161.6,2.142e+02,2.703e+02,2.010e+02,6.856e+02
163.0,1.845e+02,2.911e+02,2.068e+02,6.824e+02
164.5,1.650e+02,3.279e+02,2.303e+02,7.233e+02
165.9,1.758e+02,3.929e+02,2.576e+02,8.263e+02
167.3,1.690e+02,4.040e+02,2.692e+02,8.422e+02
168.8,1.633e+02,4.077e+02,2.637e+02,8.346e+02
170.2,1.536e+02,4.398e+02,2.780e+02,8.715e+02
171.7,1.337e+02,4.714e+02,2.599e+02,8.649e+02
173.1,1.460e+02,4.855e+02,2.905e+02,9.219e+02
174.5,1.428e+02,4.887e+02,3.329e+02,9.644e+02
176.0,1.472e+02,5.270e+02,3.692e+02,1.043e+03
177.4,1.676e+02,6.102e+02,4.206e+02,1.198e+03
178.9,1.912e+02,7.493e+02,5.114e+02,1.452e+03
180.3,1.922e+02,7.987e+02,4.991e+02,1.490e+03
181.8,1.623e+02,8.086e+02,4.562e+02,1.427e+03
183.2,1.486e+02,8.789e+02,4.607e+02,1.488e+03
184.6,1.382e+02,9.476e+02,4.947e+02,1.580e+03
186.1,1.317e+02,9.775e+02,4.964e+02,1.606e+03
187.5,1.203e+02,1.118e+03,5.319e+02,1.770e+03
189.0,1.022e+02,1.252e+03,5.303e+02,1.885e+03
190.4,9.720e+01,1.272e+03,5.400e+02,1.909e+03
191.9,9.893e+01,1.303e+03,5.487e+02,1.951e+03
193.3,1.051e+02,1.440e+03,5.976e+02,2.143e+03
194.7,1.322e+02,1.771e+03,7.397e+02,2.643e+03
196.2,1.492e+02,2.022e+03,8.937e+02,3.065e+03
197.6,1.666e+02,2.422e+03,1.179e+03,3.768e+03
199.1,1.845e+02,2.956e+03,1.562e+03,4.703e+03
